TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63817877168376,22.4,0.4,7.0,0.0,15.0,0.0
63817877169589,22.5,0.4,7.0,0.1,15.0,0.0
63817877170797,22.6,0.6,7.0,0.0,15.0,0.0
63817877171991,22.5,0.4,7.0,0.0,15.0,0.0
63817877173178,22.4,0.3,7.0,0.0,15.0,0.1
63817877174361,22.3,0.3,7.0,0.0,15.0,0.0
63817877175550,22.4,0.3,7.0,0.0,15.0,0.0
63817877176736,23.5,1.5,7.0,0.0,15.0,0.0
63817877177921,23.1,1.0,7.0,0.0,15.0,0.0
63817877179116,22.3,0.3,7.0,0.0,15.0,0.0
63817877180328,22.4,0.4,7.0,0.0,15.0,0.1
